server_name,server_url,server_description,auth_type,maturity,compatability,tool_name,tool_description,example_queries,capability_tags,embedded_text
MS Learn Docs,https://github.com/MicrosoftDocs/mcp,"The Microsoft Learn MCP Server is a remote MCP Server that enables clients like GitHub Copilot and other AI agents to bring trusted and up-to-date information directly from Microsoft's official documentation. It supports streamable http transport, which is lightweight for clients to use.",none,stable,"cursor
claude_desktop
vscode
generic_mcp_client, remote_ready",microsoft_code_sample_search,Search for official Microsoft/Azure code snippets and examples,"query1: Search for official Microsoft code samples demonstrating how to authenticate to Azure Blob Storage with Managed Identities.
query2: Find Python or C# examples showing retry logic for Azure Service Bus.
query3: Search for ARM or Bicep template samples related to provisioning an Azure API Management instance.","official-code-snippet-discovery

azure-msft-sample-retrieval

api-integration-example-search

task-oriented-code-pattern-lookup

language-specific-msft-sample-indexing

implementation-guidance-retrieval

real-world-scenario-snippet-matching","{
    ""server_name"": ""MS Learn Docs"",
    ""purpose"": ""Search for official Microsoft and Azure code samples and snippets"",
    ""tool"": ""microsoft_code_sample_search"",
    ""features"": [
      ""sample code lookup across Microsoft repos"",
      ""language-aware filtering (e.g. Python, C#)"",
      ""task-oriented scenario search"",
      ""API integration example discovery"",
      ""IaC and deployment template snippet retrieval""
    ],
    ""use_cases"": [
      ""find code that uses managed identities with Azure Blob Storage"",
      ""discover retry logic examples for Azure Service Bus"",
      ""locate ARM or Bicep templates for Azure API Management""
    ],
    ""examples"": [
      ""Search for official Microsoft code samples demonstrating how to authenticate to Azure Blob Storage with Managed Identities."",
      ""Find Python or C# examples showing retry logic for Azure Service Bus."",
      ""Search for ARM or Bicep template samples related to provisioning an Azure API Management instance.""
    ],
    ""tags"": [
      ""official-code-snippet-discovery"",
      ""azure-msft-sample-retrieval"",
      ""api-integration-example-search"",
      ""task-oriented-code-pattern-lookup"",
      ""language-specific-msft-sample-indexing"",
      ""implementation-guidance-retrieval"",
      ""real-world-scenario-snippet-matching""
    ]
  }"
Browser Use,https://docs.browser-use.com/mcp,"Enables LLMs, agents, and apps to access, search, and extract web data in real-time using the browser-use.com API.",api-key,stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",SearchBrowserUse,"Search across the browser use knowledge base to find relevant information, code examples , API references and guides. Use this tool when you need to answer questions abour browser use find specific documentation , understand how features worl, or locate implementation details . This search returns contextual content with titles and direct links to the documentation pages.","query1: Search the Browser Use documentation for examples showing how to automate login flows.
query2: Find instructions in the Browser Use docs for scraping JavaScript-heavy websites.
query3: Look up API references related to structured data extraction using Browser Use.","browseruse-docs-semantic-search

api-capability-discovery-browser-automation

feature-explanation-retrieval

workflow-pattern-lookup

implementation-guide-matching

agent-integration-knowledge-query

browseruse-best-practice-mining","{
    ""server_name"": ""Browser Use"",
    ""purpose"": ""Search the Browser Use documentation and knowledge base"",
    ""tool"": ""SearchBrowserUse"",
    ""features"": [
      ""semantic search over Browser Use docs"",
      ""API reference and guide discovery"",
      ""example- and code-focused retrieval"",
      ""feature explanation lookup"",
      ""agent and automation integration guidance""
    ],
    ""use_cases"": [
      ""find examples for automating browser login flows"",
      ""locate instructions for scraping JavaScript-heavy sites"",
      ""retrieve API references for structured data extraction""
    ],
    ""examples"": [
      ""Search the Browser Use documentation for examples showing how to automate login flows."",
      ""Find instructions in the Browser Use docs for scraping JavaScript-heavy websites."",
      ""Look up API references related to structured data extraction using Browser Use.""
    ],
    ""tags"": [
      ""browseruse-docs-semantic-search"",
      ""api-capability-discovery-browser-automation"",
      ""feature-explanation-retrieval"",
      ""workflow-pattern-lookup"",
      ""implementation-guide-matching"",
      ""agent-integration-knowledge-query"",
      ""browseruse-best-practice-mining""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_aibom,"Generates an AI Bill of Materials (AIBOM) for Python software projects in CycloneDX v1.6 JSON format. This experimental feature analyzes local Python projects to identify AI models, datasets, tools, and other AI-related components. Requires an active internet connection and access to the experimental feature (available to customers on request). The command must be run from within a Python project directory and requires the CLI from the preview release channel. 
When to use: When you need to create an inventory of AI components in a Python project for compliance, security analysis, or documentation purposes.","query1: Generate an AI Bill of Materials for a Python project located in ./ml-experiments/.
query2: Create an AIBOM for the current working directory and list all identified AI components.
query3: Produce a CycloneDX JSON AIBOM report for a local Python environment.","ai-component-inventory-generation

python-aibom-cyclonedx-export

ai-model-dataset-tool-discovery

ml-system-bill-of-materials

compliance-ai-asset-tracking

python-ai-supplychain-mapping","{
    ""server_name"": ""snyk"",
    ""purpose"": ""Generate an AI Bill of Materials (AIBOM) for Python projects"",
    ""tool"": ""snyk_aibom"",
    ""features"": [
      ""AI component inventory for Python projects"",
      ""CycloneDX v1.6 JSON export"",
      ""model, dataset, and tool detection"",
      ""AI supply chain visibility"",
      ""compliance and documentation support""
    ],
    ""use_cases"": [
      ""inventory AI components in an ML experiments repo"",
      ""produce an AIBOM for compliance or audits"",
      ""map AI models and datasets in a local environment""
    ],
    ""examples"": [
      ""Generate an AI Bill of Materials for a Python project located in ./ml-experiments/."",
      ""Create an AIBOM for the current working directory and list all identified AI components."",
      ""Produce a CycloneDX JSON AIBOM report for a local Python environment.""
    ],
    ""tags"": [
      ""ai-component-inventory-generation"",
      ""python-aibom-cyclonedx-export"",
      ""ai-model-dataset-tool-discovery"",
      ""ml-system-bill-of-materials"",
      ""compliance-ai-asset-tracking"",
      ""python-ai-supplychain-mapping""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_auth,"Authenticate the user with Snyk. When to use
 When a snyk tool reports that the user is not authenticated or when authentication is required.","query1: Authenticate me with Snyk so I can run project scans.
query2: Log me into Snyk through the MCP interface.
query3: Refresh my Snyk authentication because my token expired.","snyk-session-auth-initialization

user-credential-setup-security

cli-authentication-bootstrap

permission-granting-flow

secure-account-handshake","{
    ""server_name"": ""snyk"",
    ""purpose"": ""Authenticate the user with Snyk so other tools can run"",
    ""tool"": ""snyk_auth"",
    ""features"": [
      ""Snyk CLI authentication flow"",
      ""token and credential setup"",
      ""session initialization for scans"",
      ""secure account handshake"",
      ""support for re-authentication""
    ],
    ""use_cases"": [
      ""log in to Snyk before running code or container scans"",
      ""fix failed scans due to missing authentication"",
      ""refresh authentication after a token expires""
    ],
    ""examples"": [
      ""Authenticate me with Snyk so I can run project scans."",
      ""Log me into Snyk through the MCP interface."",
      ""Refresh my Snyk authentication because my token expired.""
    ],
    ""tags"": [
      ""snyk-session-auth-initialization"",
      ""user-credential-setup-security"",
      ""cli-authentication-bootstrap"",
      ""permission-granting-flow"",
      ""secure-account-handshake""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_code_scan,"Performs Static Application Security Testing (SAST) directly from the Snyk MCP. It analyzes an application's source code with a SAST scan to identify security vulnerabilities and weaknesses without executing the code. 
When to use: During local development, developers can run it on their feature branches for immediate feedback, or after you generate new code files. 
How to use: Test directory: run snyk_code_scan with parameter <path>, add parameters as needed. 
Languages that Snyk supports: Apex, C/C++, Dart and Flutter, Elixir, Go, Groovy, Java and Kotlin, Javascript, .NET, PHP, Python, Ruby, Rust, Scala, Swift and Objective-C, Typescript, VB.NET","query1: Scan the src/ directory for insecure code patterns using Snyk Code.
query2: Perform a SAST analysis on the project and report critical vulnerabilities.
query3: Run a static code scan on my backend folder and identify unsafe functions.","source-code-vulnerability-detection

multi-language-sast-engine

code-security-pattern-analysis

static-taint-and-flow-analysis

real-time-dev-sec-feedback"," {
    ""server_name"": ""snyk"",
    ""purpose"": ""Run Snyk Code SAST scans on source code to detect vulnerabilities"",
    ""tool"": ""snyk_code_scan"",
    ""features"": [
      ""static application security testing"",
      ""multi-language code scanning"",
      ""pattern and flow analysis of source"",
      ""real-time feedback for developers"",
      ""support for many popular languages""
    ],
    ""use_cases"": [
      ""scan source directories for insecure patterns"",
      ""run SAST on feature branches during development"",
      ""identify unsafe functions and critical vulnerabilities""
    ],
    ""examples"": [
      ""Scan the src/ directory for insecure code patterns using Snyk Code."",
      ""Perform a SAST analysis on the project and report critical vulnerabilities."",
      ""Run a static code scan on my backend folder and identify unsafe functions.""
    ],
    ""tags"": [
      ""source-code-vulnerability-detection"",
      ""multi-language-sast-engine"",
      ""code-security-pattern-analysis"",
      ""static-taint-and-flow-analysis"",
      ""real-time-dev-sec-feedback""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_container_scan,"Scans container images for known vulnerabilities in OS packages and application dependencies.
How to use: Test image: <snyk_container_scan> `IMAGE`=`my-image:v1`. Test with Dockerfile for context: <snyk_container_scan> `IMAGE`=`my-image:v1` `file`=`absolute/path/to/Dockerfile`. Test and exclude base image vulns: <snyk_container_scan> `IMAGE`=`my-image:v1` `exclude_base_image_vulns`. Test OCI archive: <snyk_container_scan> `IMAGE`=`oci-archive:image.tar` `platform`=`linux/arm64`.","query1: Scan myapp:latest for vulnerabilities using Snyk Container.
query2: Test the nginx:alpine container image and ignore base-image vulnerabilities.
query3: Scan a container archive located at /tmp/myimage.tar for security issues.","container-vulnerability-assessment

dockerfile-security-evaluation

oci-image-analysis-engine

layered-os-package-scanning

container-base-image-risk-detection","{
    ""server_name"": ""snyk"",
    ""purpose"": ""Scan container images for OS and dependency vulnerabilities"",
    ""tool"": ""snyk_container_scan"",
    ""features"": [
      ""container image vulnerability analysis"",
      ""support for Docker images and OCI archives"",
      ""OS package and library scanning"",
      ""optional exclusion of base image vulnerabilities"",
      ""platform-aware analysis""
    ],
    ""use_cases"": [
      ""scan application images before deployment"",
      ""test official base images and ignore inherited issues"",
      ""analyze OCI archives for security problems""
    ],
    ""examples"": [
      ""Scan myapp:latest for vulnerabilities using Snyk Container."",
      ""Test the nginx:alpine container image and ignore base-image vulnerabilities."",
      ""Scan a container archive located at /tmp/myimage.tar for security issues.""
    ],
    ""tags"": [
      ""container-vulnerability-assessment"",
      ""dockerfile-security-evaluation"",
      ""oci-image-analysis-engine"",
      ""layered-os-package-scanning"",
      ""container-base-image-risk-detection""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_iac_scan,"Analyzes Infrastructure as Code (IaC) files for security misconfigurations. Supports Terraform (.tf, .tf.json, plan files), Kubernetes (YAML, JSON), AWS CloudFormation (YAML, JSON), Azure Resource Manager (ARM JSON), and Serverless Framework. 
When to use: Locally by developers while writing IaC. In CI/CD pipelines to scan IaC changes before applying to cloud environments, preventing insecure deployments. The `report` option sends results to Snyk UI for ongoing visibility. 
How to use: Test directory: <snyk_iac_scan> `path`=`absolute/path/to/dir`. Test specific TF file: <snyk_iac_scan> `path`=`absolute/path/to/file.tf`. Test dir, report to UI: <snyk_iac_scan> `path`=`absolute/path/to/dir` `report` `org`=`my-org`. Test K8s configs, report to UI, high severity: <snyk_iac_scan> `path`=`./k8s/` `report` `target_name`=`prod-k8s` `severity_threshold`=`high`. Test with custom rules: `<snyk_iac_scan> `path`=`/absolute/path/to/infra/` `rules`=`rules.tar.gz`.","query1: Scan Terraform files in ./infra/ for insecure configurations.
query2: Run an IaC scan on Kubernetes YAML files under the k8s/ directory.
query3: Analyze CloudFormation templates in ./cloud/ and report high-severity issues.","iac-security-misconfiguration-analysis

terraform-k8s-cloudformation-scan

cloud-resource-policy-evaluation

shift-left-infra-security

environment-hardening-rules-engine","{
    ""server_name"": ""snyk"",
    ""purpose"": ""Scan Infrastructure as Code files for security misconfigurations"",
    ""tool"": ""snyk_iac_scan"",
    ""features"": [
      ""Terraform, Kubernetes, CloudFormation, ARM and Serverless support"",
      ""policy and config misconfiguration detection"",
      ""shift-left infra security checks"",
      ""integration with CI/CD and Snyk UI"",
      ""custom rules support""
    ],
    ""use_cases"": [
      ""scan Terraform directories for insecure settings"",
      ""check Kubernetes YAMLs before applying to clusters"",
      ""analyze CloudFormation templates for high-severity issues""
    ],
    ""examples"": [
      ""Scan Terraform files in ./infra/ for insecure configurations."",
      ""Run an IaC scan on Kubernetes YAML files under the k8s/ directory."",
      ""Analyze CloudFormation templates in ./cloud/ and report high-severity issues.""
    ],
    ""tags"": [
      ""iac-security-misconfiguration-analysis"",
      ""terraform-k8s-cloudformation-scan"",
      ""cloud-resource-policy-evaluation"",
      ""shift-left-infra-security"",
      ""environment-hardening-rules-engine""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_logout,"Logs the Snyk MCP out of the current Snyk account by clearing the locally stored authentication token. 
When to use: When needing to switch Snyk accounts, or to ensure a clean state by removing existing authentication from the local machine.","query1: Log out of Snyk and clear all authentication data.
query2: Sign out from the current Snyk session.
query3: Remove stored Snyk credentials so I can switch accounts.","snyk-auth-session-termination

credential-revocation

security-state-reset

account-switching-operation","{
    ""server_name"": ""snyk"",
    ""purpose"": ""Log out of the current Snyk account and clear local auth state"",
    ""tool"": ""snyk_logout"",
    ""features"": [
      ""token revocation and cleanup"",
      ""end Snyk CLI session"",
      ""support account switching"",
      ""remove locally stored credentials"",
      ""reset security state""
    ],
    ""use_cases"": [
      ""switch from one Snyk account to another"",
      ""ensure no residual auth remains on a shared machine"",
      ""reset local Snyk environment to a clean state""
    ],
    ""examples"": [
      ""Log out of Snyk and clear all authentication data."",
      ""Sign out from the current Snyk session."",
      ""Remove stored Snyk credentials so I can switch accounts.""
    ],
    ""tags"": [
      ""snyk-auth-session-termination"",
      ""credential-revocation"",
      ""security-state-reset"",
      ""account-switching-operation""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_open_learn_lesson,"Opens a Snyk Learn lesson in the browser. Offer this tool, when issues were found. When to use: after a user requests to open a learn lesson. The output from `snyk_sca_scan` and `snyk_code_scan` contain the information for the parameters. Else the user must specify the parameters for filtering.","query1: Open the Snyk Learn lesson about SQL injection vulnerabilities.
query2: Show the lesson explaining how to fix insecure cryptographic code.
query3: Open the relevant Learn tutorial for cross-site scripting issues.","developer-security-education-trigger

vulnerability-specific-learning-link

guided-remediation-training-access

snyk-learn-lesson-launch","{
    ""server_name"": ""snyk"",
    ""purpose"": ""Open Snyk Learn lessons that teach how to understand and fix specific vulnerabilities"",
    ""tool"": ""snyk_open_learn_lesson"",
    ""features"": [
      ""deep link into Snyk Learn lessons"",
      ""vulnerability-specific training selection"",
      ""integration with scan results (SCA/SAST)"",
      ""guided remediation education"",
      ""browser-based interactive lessons""
    ],
    ""use_cases"": [
      ""open a targeted lesson after finding a specific vulnerability type"",
      ""help developers learn how to fix an issue they just introduced"",
      ""launch educational content for common web security flaws""
    ],
    ""examples"": [
      ""Open the Snyk Learn lesson about SQL injection vulnerabilities."",
      ""Show the lesson explaining how to fix insecure cryptographic code."",
      ""Open the relevant Learn tutorial for cross-site scripting issues.""
    ],
    ""tags"": [
      ""developer-security-education-trigger"",
      ""vulnerability-specific-learning-link"",
      ""guided-remediation-training-access"",
      ""snyk-learn-lesson-launch""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_sbom_scan,"Experimental command. Analyzes an existing SBOM file for known vulnerabilities in its open-source components. Requires components in SBOM to be identified using PackageURLs (purls). 
When to use: After SBOM generation (by Snyk or other tools) to assess components. In CI/CD to test generated/received SBOMs. For vulnerability scanning of third-party software when only an SBOM is available. 
How to use: <snyk_sbom_scan> `file`=`/absolute/path/to/my_app.cdx.json`. 
Input Requirements: SBOMs in CycloneDX (JSON 1.4-1.6) or SPDX (JSON 2.3). Packages must have purls (types: apk, cargo, cocoapods, composer, deb, gem, generic, golang, hex, maven, npm, nuget, pub, pypi, rpm, swift). 
Secure SDLC Integration: Testing/Validation Phase: Scans inventoried components post-SBOM generation. Third-Party Risk Management: Assesses vulnerabilities from SBOMs of external software.","query1: Scan the SBOM file at ./output/app.cdx.json and report dependency vulnerabilities.
query2: Analyze a CycloneDX SBOM for unsafe packages and critical issues.
query3: Scan a vendor-provided SBOM and list all high-severity CVEs.","sbom-vulnerability-evaluation

purl-driven-component-analysis

third-party-software-risk-assessment

supply-chain-dependency-audit

post-sbom-security-validation","{
    ""server_name"": ""snyk"",
    ""purpose"": ""Scan an existing SBOM file for vulnerabilities in its open-source components"",
    ""tool"": ""snyk_sbom_scan"",
    ""features"": [
      ""CycloneDX and SPDX SBOM support"",
      ""purl-based component resolution"",
      ""vulnerability lookup for SBOM packages"",
      ""support for third-party software risk assessment"",
      ""integration into secure SDLC validation steps""
    ],
    ""use_cases"": [
      ""analyze generated SBOMs for dependency vulnerabilities"",
      ""test vendor-provided SBOMs without direct source access"",
      ""add SBOM scanning into CI/CD for supply chain security""
    ],
    ""examples"": [
      ""Scan the SBOM file at ./output/app.cdx.json and report dependency vulnerabilities."",
      ""Analyze a CycloneDX SBOM for unsafe packages and critical issues."",
      ""Scan a vendor-provided SBOM and list all high-severity CVEs.""
    ],
    ""tags"": [
      ""sbom-vulnerability-evaluation"",
      ""purl-driven-component-analysis"",
      ""third-party-software-risk-assessment"",
      ""supply-chain-dependency-audit"",
      ""post-sbom-security-validation""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_sca_scan,"WE NEED TO USE THE ABSOLUTE PATH IN THE PATH ARGUMENT. Analyzes projects for open-source vulnerabilities and license compliance issues by inspecting manifest files (e.g., package.json, pom.xml, requirements.txt) to understand dependencies and then queries the Snyk vulnerability database. 
When to use: During local development by developers on their workstations before committing changes for immediate feedback. 
How to use: Test locally: run tool with at least the path parameter. 
Prerequisites: Project's package manager (e.g., Gradle, Maven, npm) must be installed for accurate dependency resolution.","query1: Scan the dependencies in my Node.js project using Snyk Open Source.
query2: Run an SCA scan on my Python project stored in ./service/.
query3: Perform a vulnerability check on the Maven-based Java project in ./backend/.","opensource-dependency-vulnerability-detection

manifest-driven-sca-analysis

license-compliance-evaluation

multi-ecosystem-package-resolution

dependency-tree-risk-mapping","{
    ""server_name"": ""snyk"",
    ""purpose"": ""Scan open-source dependencies and licenses using Snyk Open Source (SCA)"",
    ""tool"": ""snyk_sca_scan"",
    ""features"": [
      ""manifest-driven dependency analysis"",
      ""open-source vulnerability detection"",
      ""license compliance checks"",
      ""support for multiple ecosystems (npm, Maven, Pip, etc.)"",
      ""integration with local dev workflows and CI/CD""
    ],
    ""use_cases"": [
      ""scan a Node.js project’s dependencies for known CVEs"",
      ""run SCA on a Python service directory during development"",
      ""check a Maven-based backend for vulnerable libraries""
    ],
    ""examples"": [
      ""Scan the dependencies in my Node.js project using Snyk Open Source."",
      ""Run an SCA scan on my Python project stored in ./service/."",
      ""Perform a vulnerability check on the Maven-based Java project in ./backend/.""
    ],
    ""tags"": [
      ""opensource-dependency-vulnerability-detection"",
      ""manifest-driven-sca-analysis"",
      ""license-compliance-evaluation"",
      ""multi-ecosystem-package-resolution"",
      ""dependency-tree-risk-mapping""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_send_feedback,Report ONLY the delta (this run only) of Snyk issues. Use preventedIssuesCount if the model prevented introducing a vulnerability in new code. Use fixedExistingIssuesCount if the model repaired an issue in existing code. Counts must NEVER be cumulative. Always send an absolute path.,"query1: Send feedback that one vulnerability was fixed during this coding session.
query2: Report that no new issues were introduced in recent changes.
query3: Submit feedback indicating two prevented security issues.","vulnerability-remediation-metrics

ai-devsecops-feedback-loop

issue-prevention-and-repair-tracking

run-specific-security-delta-reporting","{
    ""server_name"": ""snyk"",
    ""purpose"": ""Send feedback about vulnerabilities fixed or prevented in the current run"",
    ""tool"": ""snyk_send_feedback"",
    ""features"": [
      ""per-run security improvement reporting"",
      ""tracking of fixed existing issues"",
      ""tracking of prevented new issues"",
      ""integration into AI/devsecops feedback loops"",
      ""non-cumulative delta-based metrics""
    ],
    ""use_cases"": [
      ""report that a vulnerability was repaired during coding"",
      ""record that no new issues were introduced by recent changes"",
      ""indicate that multiple issues were proactively prevented""
    ],
    ""examples"": [
      ""Send feedback that one vulnerability was fixed during this coding session."",
      ""Report that no new issues were introduced in recent changes."",
      ""Submit feedback indicating two prevented security issues.""
    ],
    ""tags"": [
      ""vulnerability-remediation-metrics"",
      ""ai-devsecops-feedback-loop"",
      ""issue-prevention-and-repair-tracking"",
      ""run-specific-security-delta-reporting""
    ]
  }"
snyk,https://github.com/snyk/cli,"Security scanner that tests applications and infrastructure for vulnerabilities, generates SBOMs, and monitors projects using TypeScript and Go components.

Snyk is a developer-first, cloud-native security tool to scan and monitor your software development projects for security vulnerabilities. Snyk scans multiple content types for security issues:

Snyk Open Source: Find and automatically fix open-source vulnerabilities
Snyk Code: Find and fix vulnerabilities in your application code in real time
Snyk Container: Find and fix vulnerabilities in container images and Kubernetes applications
Snyk IaC: Find and fix insecure configurations in Terraform and Kubernetes code
","Oauth
api-key",stable,"cursor
claude_desktop
vscode
generic_mcp_client
local",snyk_trust,Trust a given folder to allow Snyk to scan it. ONLY RUN THIS TOOL IF INSTRUCTED TO DO SO.,"query1: Trust the folder ./workspace/ to allow full Snyk scanning.
query2: Mark the current directory as trusted so Snyk can run SCA and SAST.
query3: Trust the src/ folder to enable unrestricted scanning.","trusted-source-activation

local-environment-scan-permission

file-context-security-exception

workspace-whitelisting-operation"," {
    ""server_name"": ""snyk"",
    ""purpose"": ""Trust a local folder so Snyk is allowed to scan its contents"",
    ""tool"": ""snyk_trust"",
    ""features"": [
      ""workspace trust configuration"",
      ""folder-level permission granting"",
      ""enables SCA/SAST scans on local paths"",
      ""explicit security exception handling"",
      ""developer-controlled trust boundary""
    ],
    ""use_cases"": [
      ""mark a workspace directory as trusted for full scanning"",
      ""allow Snyk to scan a current project after explicit approval"",
      ""enable scans on specific folders such as src/ or infra/""
    ],
    ""examples"": [
      ""Trust the folder ./workspace/ to allow full Snyk scanning."",
      ""Mark the current directory as trusted so Snyk can run SCA and SAST."",
      ""Trust the src/ folder to enable unrestricted scanning.""
    ],
    ""tags"": [
      ""trusted-source-activation"",
      ""local-environment-scan-permission"",
      ""file-context-security-exception"",
      ""workspace-whitelisting-operation""
    ]
  }"
